用户昵称,评级,评论时间,评论内容（短评）,具体评论链接,点赞数,点踩数,回复数
CyberKnight电子骑士,还行,2020-10-02 01:26:24,三星半。 看的IMAX版，之前挺期待的，看完比较失望：画面可以给4.5星，精致细腻，宏大有气势，美术设计水准很高。IMAX的3D效果和巨幕的逼真画面确实让人享受；影片的立意很高，从“救一人与救苍生”到“撕下神灵假面”，比《哪吒》有深度！ 然而，剧本相当成问题，只能给两星。...,https://movie.douban.com/review/12887436/,680,62,284
乌鸦火堂,力荐,2020-10-02 11:38:35,重说这部《姜子牙》。作为电影，该片提供了不错的观感，尤其是美术风格，东方式魔幻氛围，个人挺喜欢的，但并不代表电影没有问题，包括故事和剧情推进这些的都是缺点，有问题但我不认为是烂片。 而且这也是一部很严肃、深沉的电影，与大家想象的“动画片”不太一样。电影我给四...,https://movie.douban.com/review/12888000/,901,61,168
KidCoolAF,还行,2020-10-01 15:59:07,这是一个故事细节讨论文，只关于故事本身。 编剧的立意都懂，一人不救何以救苍生的主题非常赞，但也不妨碍观众看着憋屈，原因不在于一个简单的阴毛故弄玄虚地整了快两小时，而在于这漫长的且拖沓的故事推进中，角色行事缺乏足够的驱动力、动作场景几乎是灾难指数、各种剧情逻辑...,https://movie.douban.com/review/12885791/,723,46,393
凹凸,推荐,2020-10-01 23:01:56,未经授权，严禁转载！！！ 近年来，彩条屋已经成为优秀国产动画的代名词，观众一步步见证着中国动画的崛起兴盛。去年暑期档的超强黑马《哪吒之魔童降世》，无疑是一剂最有力的强心剂，突破50亿票房，最关键是让人中国观众看到了中国动画能够摆脱对日本和好莱坞的模仿借鉴，不仅...,https://movie.douban.com/review/12886929/,511,78,218
二十二岛主,推荐,2020-10-03 16:27:26,本文首发于公众号：电影岛赏（j_movie），欢迎关注。 作者：二十二岛主、连城易脆 姜子牙是孤独的，在电影里他几乎从未展露过笑颜，一直眉头紧皱，因为他忧心的是天下苍生的命运；而《姜子牙》也是孤独的，作为“神话宇宙”的第二部作品，在观众有了《哪吒之魔童降世》的高标杆...,https://movie.douban.com/review/12890680/,143,8,19
漂,还行,2020-10-01 10:56:44,人在电影院，刚看了20分钟我就挺想走的，第一印象，技术吊炸天，美术好到炸，但是剧情………从预告开始预期就不高正片果然没有惊喜。 无他，九尾狐设定逼格过高，静虚宫过于low，尽管封神演义我就不喜欢阐教但这里面的表现从十二金仙到元始天尊真的非常low！就像众人皆醉我独醒...,https://movie.douban.com/review/12885277/,421,144,250
戴阿强（歌庸）,还行,2020-10-01 16:41:14,1、剧情上大体是：班级乱了班长带着组长维护正义，却发现实情是班主任为了维护权威怂恿文艺委员故意弄的，最后班长为了维护班级的集体利益向校长揭发了班主任的丑闻。 2、怎么也没想到彩蛋会比正片好看。 彩蛋里哪吒一出没想到竟然是整个片子最好看的地方，而且彩蛋的姜子牙也...,https://movie.douban.com/review/12885900/,313,41,176
掉线,推荐,2020-10-01 15:05:01,2019年，彩条屋的一部《哪吒》震惊了所有人，这个事先既不被业内看好，也没有多少路人知道的小成本动画，用50亿票房创下了影史第二高的成绩。 也正因此，作为“中国神话系列”第二部的《姜子牙》尤使人关注。 虽然《姜子牙》与《哪吒》同是封神题材，实际却是同期策划，无关联...,https://movie.douban.com/review/12885680/,200,15,102
南悠一,还行,2020-10-02 23:51:37,当姜子牙成了夜奔的林冲，从体制中一步一步脱离，带有极强的反抗性（对革命的反思），对这个地方的大银幕来讲，是值得肯定的，“狐族之后还会有另一个狐族”、归墟camp等设计颇有现实意味。之所以这么讲，是因为我只有肯定它的进步，才能谈论它的局限。也只有带有进步性的电影...,https://movie.douban.com/review/12889572/,89,4,9
肥树,推荐,2020-10-02 03:47:22,看完后心情很复杂...... 一方面要肯定电影的视觉呈现效果非凡，绝对超过预期。但另一方面故事有各种问题，一看就不是编剧思维写的，剧本和电影的视觉奇观很不匹配。从策划看，宏观的世界观设计，主题深度，人物关系问题都不大，也能留出创作空间。可真正出问题的是具体的每一场...,https://movie.douban.com/review/12887579/,70,2,11
nothing,推荐,2020-10-04 16:19:58,国庆档的电影，首先去看了迟到已久的《姜子牙》。那些小时候听过看过的神话故事，似乎不管过了多久，依旧能让人记得它们带进童年的斑斓色彩和神秘世界。 关于《姜子牙》最近人们讨论最多的依旧是其画面，对于整部电影的价值，从视觉效果来讲画面的张力与精彩程度自不必多说，其...,https://movie.douban.com/review/12892699/,29,2,0
心宿,还行,2020-10-01 13:05:39,一流的特效，一流的美工和高考语文三流作文剧本。作为一个老影迷，从大一到工作两年后的现在，不管国内国外的imax片几乎逢场必看，一直对国产电影失望，甚至一度觉得或许只有香港警匪片才值得去影院一看，直到偶然之下看了哪吒，看了流浪地球，才重拾起希望。一个优秀的剧本我...,https://movie.douban.com/review/12885501/,96,24,87
叶扬 | 独眼,,2020-10-05 23:24:52,1/ 姜子牙一开始作为师尊代表诛杀九尾的段落，特别像奥运会开幕式点燃圣火的演示动画。 2/ 作为一个名义上的洗脑大王，师尊一直对姜子牙强调“杀一人救众生”“牺牲一人救众生”，这太难以洗脑成功了……劝人杀人的时候哪里能这么说。你是在逼他负杀一人的责任，这一个处女座怎...,https://movie.douban.com/review/12895870/,11,,0
江海一蓑翁,力荐,2020-10-08 07:29:20,受疫情造成的市场停摆影响，今年的国庆档，成为中国电影产业复兴的最大希望所在。在国庆档上映的诸多院线电影里，最受观众、媒体和学界关注的，莫过于《我和我的家乡》《夺冠》《姜子牙》这三部电影。就题材而言，这三部电影，都跟传统意义上的主旋律电影有一定的距离，但基于...,https://movie.douban.com/review/12899794/,38,9,2
昭阳LHM,,2020-10-01 07:58:35,本人有幸从中华小当家（日本）、飞天小女警（西方）、葫芦娃（中国）等动画百花齐放的年代出生，也被秦时明月、魁拔等作品激动和震撼过。我们一直支持和包容中国作品，但已经过去多少年了？画面在进步（其实还是落后），台词和故事性却一直令人失望。为什么以前看大闹天宫可以...,https://movie.douban.com/review/12885146/,90,14,51
子戈,还行,2020-10-10 08:59:59,截至目前，《姜子牙》的票房已突破13亿大关，暂列国庆档票房第二。 而与票房极不相配的，是两极化的口碑。 喜欢的说它是继《哪吒之魔童降世》后，国产动画的又一突破。 不喜欢的用词更狠，无聊、空洞、徒有其表。 《姜子牙》何以遭遇如此窘境？ 我们到底该如何评价它？ 不尬吹...,https://movie.douban.com/review/12903017/,32,1,4
